Mach, Beta, AOA, Lift, Drag, Moment,L/D,CL,CD
2,0,1,947049.5191,1241066.163,-44031.81321,0.763093,0.084484,0.110712
2,0,2,1879681.73,1279745.508,-27001.21181,1.468793,0.167681,0.114163
2,0,3,2827792.82,1350699.673,-11713.09539,2.093576,0.25226,0.120492
2,0,5,4696560.004,1585285.856,8117.161365,2.962595,0.418967,0.141419
2,0,7,6615062.602,1956105.712,20970.44806,3.381751,0.590112,0.174499
2,0,9,8500824.134,2440980.366,21579.08616,3.482545,0.758335,0.217753
2,0,11,10462222.77,3084109.767,9216.947601,3.392299,0.933306,0.275125
2,1,-2,-1823737.077,1315031.123,-322518.9881,-1.386839,-0.162691,0.11731
2,1,-1,-909711.7678,1259533.355,-317193.7495,-0.722261,-0.081153,0.11236
2,1,0,13179.15436,1235884.345,-312143.8973,0.010664,0.001176,0.11025
2,1,1,941339.4584,1243740.408,-303156.4919,0.756862,0.083974,0.110951
2,1,2,1878617.018,1281660.521,-282740.4784,1.465768,0.167586,0.114333
2,1,3,2820630.347,1351917.251,-264626.5904,2.086393,0.251621,0.120601
2,1,5,4691163.035,1583016.81,-238710.0935,2.963432,0.418486,0.141217
2,1,7,6616810.574,1952901.534,-227806.3767,3.388195,0.590268,0.174213
2,1,9,8532464.235,2454061.934,-224401.0538,3.476874,0.761158,0.21892
2,1,11,10455481.06,3080292.077,-246706.2864,3.394315,0.932705,0.274784
2,2,-2,-1825546.145,1318598.866,-594379.6935,-1.384459,-0.162852,0.117629
2,2,-1,-896082.7543,1263845.169,-583940.0031,-0.709013,-0.079937,0.112744
2,2,0,40926.37471,1243390.888,-567177.165,0.032915,0.003651,0.11092
2,2,1,942092.1487,1246505.929,-560953.641,0.755786,0.084041,0.111197
2,2,2,1869286.005,1284562.434,-541901.7098,1.455193,0.166754,0.114592
2,2,3,2808721.017,1353148.835,-523729.6489,2.075693,0.250558,0.120711
2,2,5,4686229.941,1585281.357,-489045.6116,2.956087,0.418046,0.141419
2,2,7,6615142.316,1957407.302,-476352.2833,3.379543,0.590119,0.174615
2,2,9,8505112.254,2443042.649,-476729.9163,3.481361,0.758718,0.217937
2,2,11,10416099.25,3073550.499,-502490.3709,3.388947,0.929192,0.274183
